iter	Passed	Remaining
404	8033	3868
405	8054	3848
406	8074	3828
407	8094	3808
408	8112	3788
409	8131	3768
410	8150	3748
411	8172	3729
412	8194	3710
413	8221	3693
414	8242	3674
415	8262	3654
416	8284	3635
417	8301	3614
418	8319	3593
419	8339	3574
420	8362	3555
421	8384	3536
422	8402	3516
423	8426	3497
424	8449	3479
425	8471	3460
426	8492	3440
427	8512	3420
428	8529	3399
429	8546	3378
430	8563	3357
431	8580	3336
432	8605	3318
433	8622	3298
434	8640	3277
435	8657	3256
436	8673	3235
437	8692	3215
438	8709	3194
439	8728	3174
440	8746	3153
441	8764	3132
442	8782	3112
443	8799	3091
444	8819	3071
445	8837	3051
446	8855	3031
447	8872	3010
448	8890	2990
449	8909	2969
450	8928	2949
451	8947	2929
452	8965	2909
453	8983	2888
454	9000	2868
455	9021	2848
456	9040	2828
457	9058	2808
458	9076	2788
459	9097	2768
460	9115	2748
461	9131	2727
462	9148	2707
463	9164	2686
464	9182	2665
465	9202	2646
466	9224	2627
467	9241	2606
468	9260	2586
469	9280	2566
470	9298	2546
471	9314	2525
472	9334	2506
473	9351	2485
474	9371	2466
475	9389	2445
476	9405	2425
477	9423	2405
478	9444	2385
479	9464	2366
480	9482	2346
481	9501	2326
482	9518	2305
483	9537	2285
484	9553	2265
485	9572	2245
486	9590	2225
487	9610	2205
488	9630	2186
489	9650	2166
490	9668	2146
491	9685	2126
492	9705	2106
493	9723	2086
494	9742	2066
495	9763	2047
496	9786	2028
497	9809	2009
498	9829	1989
499	9852	1970
500	9880	1952
501	9901	1932
502	9923	1913
503	9945	1894
504	9967	1875
505	9988	1855
506	10011	1836
507	10029	1816
508	10047	1796
509	10065	1776
510	10085	1756
511	10106	1737
512	10128	1717
513	10145	1697
514	10162	1677
515	10179	1657
516	10198	1637
517	10219	1617
518	10240	1598
519	10266	1579
520	10291	1560
521	10315	1541
522	10338	1522
523	10367	1503
524	10394	1484
525	10420	1465
526	10445	1446
527	10469	1427
528	10489	1407
529	10509	1387
530	10530	1368
531	10555	1349
532	10578	1329
533	10599	1310
534	10628	1291
535	10652	1271
536	10673	1252
537	10698	1232
538	10724	1213
539	10751	1194
540	10778	1175
541	10801	1155
542	10822	1136
543	10849	1116
544	10877	1097
545	10903	1078
546	10926	1058
547	10948	1038
548	10969	1018
549	10987	998
550	11005	978
551	11024	958
552	11043	938
553	11061	918
554	11079	898
555	11100	878
556	11120	858
557	11139	838
558	11159	818
559	11177	798
560	11195	778
561	11213	758
562	11230	738
563	11249	718
564	11265	697
565	11284	677
566	11306	658
567	11324	637
568	11344	618
569	11365	598
570	11383	578
571	11401	558
572	11420	538
573	11438	518
574	11457	498
575	11476	478
576	11496	458
577	11518	438
578	11535	418
579	11555	398
580	11572	378
581	11592	358
582	11614	338
583	11632	318
584	11651	298
585	11669	278
586	11690	258
587	11718	239
588	11742	219
589	11766	199
590	11793	179
591	11828	159
592	11860	140
593	11889	120
594	11914	100
595	11943	80
596	11964	60
597	11981	40
598	11999	20
599	12017	0
