iter	MultiClass
216	0.3798314155
217	0.3792740861
218	0.3786924151
219	0.3781446799
220	0.3775782571
221	0.3771089424
222	0.3764280432
223	0.3759824446
224	0.3755649454
225	0.3752258589
226	0.374627854
227	0.3740537031
228	0.3735870926
229	0.373087438
230	0.3725621345
231	0.3720736914
232	0.371478881
233	0.3711051263
234	0.3707729524
235	0.3703536698
236	0.3696915145
237	0.3691406253
238	0.3683449431
239	0.3677484944
240	0.3674328308
241	0.3669355391
242	0.3665362272
243	0.3661741249
244	0.3657813088
245	0.3652698825
246	0.3647125419
247	0.3640700845
248	0.3634910478
249	0.3630440239
250	0.3625770508
251	0.3621506964
252	0.3617536934
253	0.3611873157
254	0.3607775144
255	0.3603809214
256	0.3598422719
257	0.3595557283
258	0.3591063981
259	0.3586508967
260	0.3582523712
261	0.3578741914
262	0.3571381694
263	0.3568352589
264	0.3564980284
265	0.3562123404
266	0.3557547449
267	0.3553428135
268	0.3548065558
269	0.3543649225
270	0.3539843683
271	0.3535782886
272	0.3532088044
273	0.3527123975
274	0.3522112315
275	0.3518154111
276	0.3515139147
277	0.3512829843
278	0.3509319812
279	0.3504907614
280	0.3501681885
281	0.3498598743
282	0.3494991771
283	0.3491568238
284	0.3486984887
285	0.3482951344
286	0.3477121927
287	0.3471748546
288	0.3468503266
289	0.3465341292
290	0.3461810023
291	0.3457956639
292	0.3454442988
293	0.3451512135
294	0.3447270477
295	0.3442807695
296	0.3439364508
297	0.3435220929
298	0.343144787
299	0.3427919355
300	0.3423329523
301	0.341990879
302	0.3415070834
303	0.3410442182
304	0.3406872038
305	0.3403644782
306	0.3400403219
307	0.3396421168
308	0.3392427305
309	0.3388091398
310	0.3385263648
311	0.3380331522
312	0.3377921185
313	0.3375291448
314	0.3372300021
315	0.3368481547
316	0.3366332476
317	0.3360809852
318	0.3357909522
319	0.3355301933
320	0.3351035808
321	0.3347693773
322	0.3344760147
323	0.3341395545
324	0.3338226047
325	0.3333585308
326	0.3328407647
327	0.3324778227
328	0.3321210775
329	0.3317832287
330	0.3314275639
331	0.3310677232
332	0.3307432745
333	0.3302194062
334	0.3299501458
335	0.329670259
336	0.3293020544
337	0.3290718374
338	0.3287181171
339	0.3283966535
340	0.3281206557
341	0.3276347026
342	0.3272424676
343	0.3270106699
344	0.3265355236
345	0.3261157188
346	0.325877046
347	0.3256346392
348	0.3253655956
349	0.3250554903
350	0.3247598899
351	0.3245344745
352	0.3242858599
353	0.3238945278
354	0.3234864897
355	0.3231726077
356	0.3229090965
357	0.3227333011
358	0.3223641935
359	0.3220053723
360	0.321801357
361	0.3215512716
362	0.3213541335
363	0.3210417647
364	0.3207840166
365	0.320557973
366	0.3201831916
367	0.3199350187
368	0.3195979708
369	0.3193759656
370	0.3190154679
371	0.3186707419
372	0.3183619249
373	0.3178891093
374	0.317681218
375	0.3174155915
376	0.3171971986
377	0.3170167475
378	0.3167673092
379	0.316325515
380	0.3159756695
381	0.3156649467
382	0.3154140875
383	0.3150826366
384	0.3148476808
385	0.3145049453
386	0.3142319773
387	0.31390943
388	0.3135681414
389	0.3132440284
390	0.3129917249
391	0.3126934764
392	0.3124557696
393	0.3121306628
394	0.3117701619
395	0.3113814526
396	0.3109073191
397	0.3105521963
398	0.3102285905
399	0.3098285187
400	0.3096026172
401	0.3093146566
402	0.3090199716
403	0.308733711
404	0.3084789813
405	0.3081344931
406	0.3077193784
407	0.307373042
408	0.3071747744
409	0.3068742507
410	0.3065227869
411	0.306289535
412	0.306096305
413	0.305851682
414	0.3055655622
415	0.3053904053
416	0.3050391644
417	0.3047471557
418	0.3044711685
419	0.3042423957
420	0.3038872617
421	0.3036761831
422	0.3034113292
423	0.3030961848
424	0.3028974919
425	0.3024551283
426	0.3022383114
427	0.3019273386
428	0.3016658381
429	0.3013697394
430	0.3011202197
431	0.3008835969
432	0.3006662936
433	0.3004690403
434	0.3002017647
435	0.2999251027
436	0.299734424
437	0.2994356971
438	0.2992455322
439	0.2989872595
440	0.2986476588
441	0.2983243292
442	0.2981508419
443	0.2977983312
444	0.2975323017
445	0.2973471299
446	0.2971390825
447	0.2968153275
448	0.2966319399
449	0.2964094034
450	0.2961129812
451	0.295829221
452	0.2956235004
453	0.2953077617
454	0.2951624632
455	0.2949494066
456	0.2947430285
457	0.2943359519
458	0.2941568447
459	0.2939566364
460	0.2937253393
461	0.2935116118
462	0.293200332
463	0.2929017276
464	0.2927038393
465	0.2924493173
466	0.2922572758
467	0.2920389907
468	0.2916992045
469	0.2914648109
470	0.2912657752
471	0.291123848
472	0.2909633493
473	0.2907159444
474	0.2904243825
475	0.2901445645
476	0.2899484046
477	0.2897099667
478	0.2895112192
479	0.2891742152
480	0.2889128555
481	0.2886337122
482	0.2883986318
483	0.2882449945
484	0.2880604236
485	0.287844229
486	0.2876720594
487	0.2874729475
488	0.2871848918
489	0.2869150975
490	0.2865735127
491	0.2862933009
492	0.2860609704
493	0.2858159249
494	0.2854972462
495	0.285225214
496	0.2849486725
497	0.2847657964
498	0.2845224257
499	0.284345122
500	0.2841398361
501	0.2839396405
502	0.2837060237
503	0.2835319447
504	0.2833723887
505	0.2831184705
506	0.2829110311
507	0.2826841285
508	0.2825685032
509	0.2822980726
510	0.2819768717
511	0.2817206027
512	0.2815549838
513	0.2812383474
514	0.2810488517
515	0.2808458845
516	0.2805068146
517	0.280217955
518	0.2800870434
519	0.2798946922
520	0.2796882927
521	0.2794769716
522	0.2791638769
523	0.2789404842
524	0.2787359033
525	0.2785325061
526	0.2781596819
527	0.277828618
528	0.2775917797
529	0.2773875167
530	0.2771766941
531	0.2769573942
532	0.2767047742
533	0.2764529684
534	0.2763126048
535	0.2761226032
536	0.2758855485
537	0.2755599968
538	0.2753933666
539	0.2752194438
540	0.2749094815
541	0.2747440216
542	0.2745153611
543	0.2742330087
544	0.2739378334
545	0.2737815869
546	0.2735628251
547	0.2732796108
548	0.2731278411
549	0.2729099925
550	0.2725798025
551	0.2723849703
552	0.2720919447
553	0.2719465022
554	0.2717370182
555	0.2715823882
556	0.2714105488
557	0.2711838899
558	0.2709866422
559	0.2707145035
560	0.2704941373
561	0.2701607626
562	0.269933724
563	0.2696328542
564	0.2694807563
565	0.2693055755
566	0.269085749
567	0.2688225056
568	0.2686939271
569	0.2682937868
570	0.26814504
571	0.2680170509
572	0.267853119
573	0.2676787956
574	0.2674432676
575	0.267240638
576	0.2669829063
577	0.2667823151
578	0.266547877
579	0.266314308
580	0.266142221
581	0.2659058964
582	0.2656332711
583	0.2654492403
584	0.2652855572
585	0.265174774
586	0.2650806385
587	0.2649249886
588	0.2647495864
589	0.2646148445
590	0.2644369305
591	0.2642517387
592	0.2640447071
593	0.2638208934
594	0.2636538486
595	0.2635144295
596	0.2634099773
597	0.2631989234
598	0.2630224749
599	0.2629046545
